rep,timeBef,timeAf,nSeeds,trt
4,23,24,0,3
4,24,25,0,3
4,25,26,0,3
4,26,27,0,3
4,27,28,0,3
4,28,29,0,3
4,29,30,0,3
4,30,31,0,3
4,31,32,0,3
4,32,33,0,3
4,33,34,0,3
4,34,35,0,3
4,36,inf,22,3
1,0,1,0,4
1,1,2,0,4
1,2,3,0,4
1,3,4,0,4
1,4,5,6,4
1,5,6,0,4
1,6,7,0,4
1,7,8,1,4
1,8,9,0,4
1,9,10,1,4
1,10,11,0,4
1,11,12,1,4
1,12,13,0,4
1,13,14,0,4
1,14,15,0,4
1,15,16,0,4
1,16,17,0,4
1,17,18,5,4
1,18,19,0,4
1,19,20,0,4
1,20,21,0,4
1,21,22,0,4
1,22,23,0,4
1,23,24,0,4
1,24,25,0,4
1,25,26,0,4
1,26,27,0,4
1,27,28,0,4
1,28,29,0,4
1,29,30,0,4
1,30,31,0,4
1,31,32,0,4
1,32,33,0,4
1,33,34,0,4
1,34,35,0,4
1,36,inf,36,4
2,0,1,0,4
2,1,2,0,4
2,2,3,0,4
2,3,4,0,4
2,4,5,6,4
2,5,6,0,4
2,6,7,3,4
2,7,8,3,4
2,8,9,0,4
2,9,10,5,4
2,10,11,1,4
2,11,12,0,4
2,12,13,0,4
2,13,14,0,4
2,14,15,0,4
2,15,16,0,4
2,16,17,0,4
2,17,18,0,4
2,18,19,0,4
2,19,20,0,4
2,20,21,0,4
2,21,22,0,4
2,22,23,0,4
2,23,24,0,4
2,24,25,0,4
2,25,26,0,4
2,26,27,0,4
2,27,28,2,4
2,28,29,0,4
2,29,30,0,4
2,30,31,0,4
2,31,32,0,4
2,32,33,0,4
2,33,34,0,4
2,34,35,0,4
2,36,inf,30,4
3,0,1,0,4
3,1,2,0,4
3,2,3,0,4
3,3,4,0,4
3,4,5,6,4
3,5,6,1,4
3,6,7,1,4
3,7,8,3,4
3,8,9,0,4
3,9,10,2,4
3,10,11,1,4
3,11,12,3,4
3,12,13,0,4
3,13,14,0,4
3,14,15,0,4
3,15,16,0,4
3,16,17,0,4
3,17,18,2,4
3,18,19,0,4
3,19,20,0,4
3,20,21,0,4
3,21,22,0,4
3,22,23,0,4
3,23,24,0,4
3,24,25,0,4
3,25,26,0,4
3,26,27,0,4
3,27,28,3,4
3,28,29,0,4
3,29,30,0,4
3,30,31,0,4
3,31,32,0,4
3,32,33,0,4
3,33,34,0,4
3,34,35,0,4
3,36,inf,28,4
4,0,1,0,4
4,1,2,0,4
4,2,3,0,4
4,3,4,0,4
4,4,5,6,4
4,5,6,0,4
4,6,7,1,4
4,7,8,4,4
4,8,9,0,4
4,9,10,1,4
4,10,11,2,4
4,11,12,3,4
4,12,13,0,4
4,13,14,0,4
4,14,15,0,4
4,15,16,0,4
4,16,17,0,4
4,17,18,0,4
4,18,19,0,4
4,19,20,0,4
4,20,21,0,4
4,21,22,1,4
4,22,23,0,4
4,23,24,0,4
4,24,25,0,4
4,25,26,0,4
4,26,27,0,4
4,27,28,0,4
4,28,29,0,4
4,29,30,0,4
4,30,31,0,4
4,31,32,0,4
4,32,33,0,4
4,33,34,0,4
4,34,35,0,4
4,36,inf,32,4
1,0,1,0,5
1,1,2,0,5
1,2,3,0,5
1,3,4,0,5
1,4,5,6,5
1,5,6,0,5
1,6,7,0,5
1,7,8,0,5
1,8,9,0,5
1,9,10,0,5
1,10,11,0,5
1,11,12,4,5
1,12,13,0,5
1,13,14,0,5
1,14,15,0,5
1,15,16,0,5
1,16,17,0,5
1,17,18,0,5
1,18,19,0,5
1,19,20,0,5
1,20,21,0,5
1,21,22,0,5
1,22,23,0,5
1,23,24,0,5
1,24,25,0,5
1,25,26,0,5
1,26,27,0,5
1,27,28,0,5
1,28,29,0,5
1,29,30,0,5
1,30,31,0,5
1,31,32,0,5
1,32,33,0,5
1,33,34,0,5
1,34,35,0,5
1,36,inf,40,5
2,0,1,0,5
2,1,2,0,5
2,2,3,0,5
2,3,4,0,5
2,4,5,6,5
2,5,6,0,5
2,6,7,0,5
2,7,8,1,5
2,8,9,0,5
2,9,10,0,5
2,10,11,0,5
2,11,12,0,5
2,12,13,0,5
2,13,14,0,5
2,14,15,0,5
2,15,16,0,5
2,16,17,0,5
2,17,18,0,5
2,18,19,1,5
2,19,20,0,5
2,20,21,0,5
2,21,22,0,5
2,22,23,0,5
2,23,24,0,5
2,24,25,0,5
2,25,26,1,5
2,26,27,0,5
2,27,28,0,5
2,28,29,0,5
2,29,30,0,5
2,30,31,0,5
2,31,32,0,5
2,32,33,0,5
2,33,34,0,5
2,34,35,0,5
2,36,inf,41,5
3,0,1,0,5
3,1,2,0,5
3,2,3,0,5
3,3,4,0,5
3,4,5,6,5
3,5,6,0,5
3,6,7,0,5
3,7,8,0,5
3,8,9,0,5
3,9,10,0,5
3,10,11,0,5
3,11,12,0,5
3,12,13,0,5
3,13,14,0,5
3,14,15,0,5
3,15,16,0,5
3,16,17,0,5
3,17,18,1,5
3,18,19,0,5
3,19,20,0,5
3,20,21,0,5
3,21,22,0,5
3,22,23,0,5
3,23,24,0,5
3,24,25,0,5
3,25,26,0,5
3,26,27,0,5
3,27,28,0,5
3,28,29,0,5
3,29,30,0,5
3,30,31,0,5
3,31,32,0,5
3,32,33,0,5
3,33,34,0,5
3,34,35,0,5
3,36,inf,43,5
4,0,1,0,5
4,1,2,0,5
4,2,3,0,5
4,3,4,0,5
4,4,5,6,5
4,5,6,0,5
4,6,7,0,5
4,7,8,0,5
4,8,9,0,5
4,9,10,0,5
4,10,11,0,5
4,11,12,0,5
4,12,13,0,5
4,13,14,0,5
4,14,15,0,5
4,15,16,0,5
4,16,17,0,5
4,17,18,0,5
4,18,19,0,5
4,19,20,0,5
4,20,21,0,5
4,21,22,0,5
4,22,23,0,5
4,23,24,0,5
4,24,25,0,5
4,25,26,0,5
4,26,27,0,5
4,27,28,0,5
4,28,29,0,5
4,29,30,0,5
4,30,31,0,5
4,31,32,0,5
4,32,33,0,5
4,33,34,0,5
4,34,35,0,5
4,36,inf,44,5
1,0,1,0,6
1,1,2,0,6
1,2,3,0,6
1,3,4,0,6
1,4,5,6,6
1,5,6,0,6
1,6,7,0,6
1,7,8,0,6
1,8,9,0,6
1,9,10,0,6
1,10,11,0,6
1,11,12,0,6
1,12,13,0,6
1,13,14,0,6
1,14,15,0,6
1,15,16,0,6
1,16,17,0,6
1,17,18,0,6
1,18,19,0,6
1,19,20,0,6
1,20,21,0,6
1,21,22,0,6
1,22,23,0,6
1,23,24,0,6
1,24,25,0,6
1,25,26,0,6
1,26,27,0,6
1,27,28,0,6
1,28,29,1,6
1,29,30,0,6
1,30,31,0,6
1,31,32,0,6
1,32,33,0,6
1,33,34,0,6
1,34,35,0,6
1,36,inf,43,6
2,0,1,0,6
2,1,2,0,6
2,2,3,0,6
2,3,4,0,6
2,4,5,6,6
2,5,6,0,6
2,6,7,0,6
2,7,8,0,6
2,8,9,0,6
2,9,10,0,6
2,10,11,0,6
2,11,12,0,6
2,12,13,0,6
2,13,14,0,6
2,14,15,0,6
2,15,16,0,6
2,16,17,0,6
2,17,18,0,6
2,18,19,0,6
2,19,20,0,6
2,20,21,0,6
2,21,22,0,6
2,22,23,0,6
2,23,24,0,6
2,24,25,0,6
2,25,26,0,6
2,26,27,0,6
2,27,28,0,6
2,28,29,1,6
2,29,30,0,6
2,30,31,0,6
2,31,32,4,6
2,32,33,0,6
2,33,34,0,6
2,34,35,0,6
2,36,inf,39,6
3,0,1,0,6
3,1,2,0,6
3,2,3,0,6
3,3,4,0,6
3,4,5,6,6
3,5,6,0,6
3,6,7,0,6
3,7,8,0,6
3,8,9,0,6
3,9,10,0,6
3,10,11,0,6
3,11,12,0,6
3,12,13,0,6
3,13,14,0,6
3,14,15,0,6
3,15,16,0,6
3,16,17,0,6
3,17,18,0,6
3,18,19,0,6
3,19,20,0,6
3,20,21,0,6
3,21,22,0,6
3,22,23,0,6
3,23,24,0,6
3,24,25,0,6
3,25,26,0,6
3,26,27,0,6
3,27,28,0,6
3,28,29,0,6
3,29,30,0,6
3,30,31,0,6
3,31,32,0,6
3,32,33,0,6
3,33,34,0,6
3,34,35,0,6
3,36,inf,44,6
4,0,1,0,6
4,1,2,0,6
4,2,3,0,6
4,3,4,0,6
4,4,5,6,6
4,5,6,0,6
4,6,7,0,6
4,7,8,0,6
